OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
206	39061003000	8.1735621	12.8971963	18.1648812	55.5932203	3.2075472	2.9465187	12.2704339	Hamilton
207	39061003200	27.637261	10.7776262	3.5842294	53.04457	2.5210084	2.159161	23.6273905	Hamilton
208	39061022200	4.0415444	6.8883611	5.0706567	6.1934901	2.803262	1.1740799	25.9426507	Hamilton
209	39061023201	4.0794979	19.7395833	16.25	21.6951517	7.6860841	0	10.5997211	Hamilton
210	39061023800	4.2483026	11.0849673	7.0456924	13.4561474	6.8657874	0.3103783	46.9835112	Hamilton
211	39061024200	0.9081003	2.939711	5.2910053	8.5114504	3.0710173	1.0897203	21.503814	Hamilton
212	39061024700	3.0195382	7.9273328	5.2016985	8.8809947	8.4388186	1.124926	3.2563647	Hamilton
213	39061025300	6.2567422	20.2069985	7.1759259	14.4192736	4.4609665	9.6368213	3.3441208	Hamilton
214	39061025401	3.9091389	12.5581395	2.6919242	16.6666667	9.2693566	2.3243529	7.1315372	Hamilton
215	39061020401	0.8777063	10.5201293	8.2739509	11.9796756	10.9301104	1.4238346	0.9947338	Hamilton
216	39061024321	11.7984694	1.4022787	1.9312294	2.8443878	1.808152	3.0484694	0.9693878	Hamilton
217	39061023902	7.9868259	2.7913669	2.2929936	3.0373339	1.7344173	2.7789214	1.8320296	Hamilton
218	39061024002	4.9075391	4.3373494	4.0869565	3.7912913	6.8551842	1.3869132	3.8762447	Hamilton
219	39061003300	9.5459837	20.5432937	16.7130919	53.3178114	7.3800738	0.9313155	28.2305006	Hamilton
220	39061003600	0.681302	34.8699764	17.5953079	66.5587045	22.0700152	1.665405	89.9318698	Hamilton
221	39061003700	0.5	25.2352438	33.9403974	66.8194842	14.3243243	0	85.6666667	Hamilton
222	39061003800	0	18.4334909	15.6599553	34.5023697	17.0859539	0	92.7727917	Hamilton
223	39061003900	0	15.8918005	15.5297533	45.0665189	30.4812834	0	87.6644737	Hamilton
224	39061004000	4.4220666	8.9321692	12.77666	27.6177412	18.574514	4.028021	63.8353765	Hamilton
225	39061004100	2.2093023	5.6122449	11.149033	27.9522613	13.5026738	2.8488372	45.4651163	Hamilton
